alpha,colsample_bytree,learning_rate,max_depth,n_estimators,num_leaves,subsample
8,0.7,0.02,4,400,31,0.7
8,0.67,0.05,4,466,31,0.7
8.77,0.16,0.06,4,493,146,0.5
8,0.7,0.02,4,400,31,0.7
8.22,0.83,0.015,30,560,224,0.64
8,1,0.06,4,600,125,0.01
8,0.7,0.02,4,400,31,0.7
32,1,0.06,32,600,63,0.01
8,0.7,0.02,4,400,31,0.7
15.14,1,0.03,4,600,256,0.01
8,0.7,0.02,4,400,31,0.7
8,1,0.06,4,600,128,0.03
15.57,0.4,0.06,5,592,143,0.02
8,0.7,0.02,4,400,31,0.7
9.63,0.22,0.01,7,505,169,0.02
8.02,0.91,0.06,8,457,43,0.11
8,0.7,0.02,4,400,31,0.7
13.49,1,0.06,18,361,10,0.02
